OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
58712,GO-20246083,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,20,2024,January,1,1,Monday    ,20,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,167,Church-Wellesley (167),75,Church-Yonge Corridor (75),-79.38347995,43.6639921,-8836928.565,5413590.576
58713,GO-20242942,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,12,2024,January,1,1,Monday    ,12,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),-79.41111742,43.71034088,-8840005.155,5420725.643
58714,GO-20243890,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,13,2024,January,1,1,Monday    ,2,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,99,Mount Pleasant East (99),99,Mount Pleasant East (99),-79.38024948,43.70065875,-8836568.951,5419234.692
58715,GO-20242650,1/1/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,1,1,Monday    ,13,2023,December,31,365,Sunday    ,23,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,22,Humbermede (22),22,Humbermede (22),-79.5323829,43.74917338,-8853504.366,5426707.88
58716,GO-20242844,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,15,2024,January,1,1,Monday    ,2,D12,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,23,Pelmo Park-Humberlea (23),23,Pelmo Park-Humberlea (23),-79.50823774,43.71194055,-8850816.539,5420971.998
58717,GO-20246669,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,22,2024,January,1,1,Monday    ,20,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,42,Banbury-Don Mills (42),42,Banbury-Don Mills (42),-79.35087175,43.75495561,-8833298.637,5427598.978
58718,GO-20245709,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,19,2024,January,1,1,Monday    ,16,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),14,Islington-City Centre West (14),-79.51601273,43.61935103,-8851682.047,5406723.605
58720,GO-20242485,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,8,2024,January,1,1,Monday    ,0,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,65,Greenwood-Coxwell (65),65,Greenwood-Coxwell (65),-79.32739261,43.66944637,-8830684.952,5414429.936
58721,GO-20242402,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,7,2024,January,1,1,Monday    ,2,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,64,Woodbine Corridor (64),64,Woodbine Corridor (64),-79.31288994,43.67551661,-8829070.521,5415364.178
58722,GO-20244985,1/1/2024 5:00:00 AM,12/13/2023 5:00:00 AM,2024,January,1,1,Monday    ,19,2023,December,13,347,Wednesday ,12,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.30933407,43.74091383,-8828674.684,5425435.153
58723,GO-20242639,1/1/2024 5:00:00 AM,12/24/2023 5:00:00 AM,2024,January,1,1,Monday    ,9,2023,December,24,358,Sunday    ,5,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,101,Forest Hill South (101),101,Forest Hill South (101),-79.41687413,43.6919419,-8840645.988,5417892.59
58724,GO-20241569,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,3,2024,January,1,1,Monday    ,0,D23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,2,Mount Olive-Silverstone-Jamestown (2),2,Mount Olive-Silverstone-Jamestown (2),-79.58791149,43.75340268,-8859685.78,5427359.648
58725,GO-20245057,1/1/2024 5:00:00 AM,12/29/2023 5:00:00 AM,2024,January,1,1,Monday    ,8,2023,December,29,363,Friday    ,2,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,33,Clanton Park (33),33,Clanton Park (33),-79.43693383,43.74911407,-8842879.024,5426698.741
58726,GO-20244985,1/1/2024 5:00:00 AM,12/13/2023 5:00:00 AM,2024,January,1,1,Monday    ,19,2023,December,13,347,Wednesday ,12,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.30933407,43.74091383,-8828674.684,5425435.153
58727,GO-20245057,1/1/2024 5:00:00 AM,12/29/2023 5:00:00 AM,2024,January,1,1,Monday    ,8,2023,December,29,363,Friday    ,2,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,33,Clanton Park (33),33,Clanton Park (33),-79.43693383,43.74911407,-8842879.024,5426698.741
58728,GO-20241254,1/1/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,1,1,Monday    ,3,2024,January,1,1,Monday    ,2,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.29493396,43.70897329,-8827071.671,5420515.033
58729,GO-202412334,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,17,2024,January,2,2,Tuesday   ,16,D22,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,18,New Toronto (18),18,New Toronto (18),-79.50677597,43.59545124,-8850653.816,5403049.284
58730,GO-20249527,1/2/2024 5:00:00 AM,12/21/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,10,2023,December,21,355,Thursday  ,4,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.59109736,43.67698895,-8860040.43,5415590.792
58731,GO-202413804,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,20,2024,January,2,2,Tuesday   ,20,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,19,Long Branch (19),19,Long Branch (19),-79.53108393,43.59181598,-8853359.766,5402490.531
58732,GO-20249423,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,10,2024,January,2,2,Tuesday   ,10,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,62,East End-Danforth (62),62,East End-Danforth (62),-79.30546865,43.68282183,-8828244.387,5416488.615
58733,GO-202410682,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,13,2024,January,2,2,Tuesday   ,13,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,65,Greenwood-Coxwell (65),65,Greenwood-Coxwell (65),-79.3278749,43.66379166,-8830738.64,5413559.731
58734,GO-202412468,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,17,2024,January,1,1,Monday    ,14,D55,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,44,Flemingdon Park (44),44,Flemingdon Park (44),-79.33198683,43.71943975,-8831196.377,5422126.997
58735,GO-20248870,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,9,2024,January,2,2,Tuesday   ,8,D23,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,6,Kingsview Village-The Westway (6),6,Kingsview Village-The Westway (6),-79.55215096,43.69578968,-8855704.936,5418484.994
58736,GO-202410001,1/2/2024 5:00:00 AM,12/21/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,11,2023,December,21,355,Thursday  ,11,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.58110769,43.7138407,-8858928.385,5421264.639
58737,GO-20249255,1/2/2024 5:00:00 AM,12/30/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,10,2023,December,30,364,Saturday  ,12,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,160,Mimico-Queensway (160),17,Mimico (includes Humber Bay Shores) (17),-79.50061432,43.6215632,-8849967.904,5407063.775
58738,GO-20249088,1/2/2024 5:00:00 AM,12/21/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,9,2023,December,21,355,Thursday  ,22,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,11,Eringate-Centennial-West Deane (11),11,Eringate-Centennial-West Deane (11),-79.6030829,43.65156186,-8861374.654,5411677.965
58739,GO-20248950,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,9,2024,January,2,2,Tuesday   ,5,D22,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2135,210,Theft Of Motor Vehicle,Auto Theft,13,Etobicoke West Mall (13),13,Etobicoke West Mall (13),-79.56725217,43.64883871,-8857385.996,5411259.014
58740,GO-20247945,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,5,2024,January,1,1,Monday    ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,158,Islington (158),14,Islington-City Centre West (14),-79.56030408,43.65428552,-8856612.538,5412097.014
58741,GO-20248316,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,7,2024,January,1,1,Monday    ,23,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,46,Pleasant View (46),46,Pleasant View (46),-79.33622106,43.79055075,-8831667.73,5433086.434
58742,GO-20247902,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,5,2024,January,2,2,Tuesday   ,1,D13,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.44527578,43.69922486,-8843807.646,5419013.908
58743,GO-202413522,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,20,2024,January,1,1,Monday    ,21,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,78,Kensington-Chinatown (78),78,Kensington-Chinatown (78),-79.39143654,43.65431529,-8837814.289,5412101.595
58744,GO-202412282,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,16,2024,January,2,2,Tuesday   ,14,D51,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,168,Downtown Yonge East (168),75,Church-Yonge Corridor (75),-79.37752135,43.65132389,-8836265.257,5411641.353
58745,GO-20247945,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,5,2024,January,1,1,Monday    ,23,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,158,Islington (158),14,Islington-City Centre West (14),-79.56030408,43.65428552,-8856612.538,5412097.014
58746,GO-20249997,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,11,2024,January,1,1,Monday    ,18,D11,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,171,Junction-Wallace Emerson (171),93,Dovercourt-Wallace Emerson-Junction (93),-79.44263702,43.66891692,-8843513.901,5414348.456
58747,GO-20249948,1/2/2024 5:00:00 AM,12/20/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,11,2023,December,20,354,Wednesday ,20,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,90,Junction Area (90),90,Junction Area (90),-79.47217452,43.66922725,-8846802,5414396.214
58748,GO-20248409,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,7,2024,January,1,1,Monday    ,22,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,21,Humber Summit (21),21,Humber Summit (21),-79.54016562,43.76267069,-8854370.734,5428788.082
58749,GO-202412840,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,18,2024,January,1,1,Monday    ,18,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,59,Danforth East York (59),59,Danforth East York (59),-79.34379611,43.68502789,-8832510.981,5416828.204
58750,GO-202410823,1/2/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,13,2023,December,31,365,Sunday    ,16,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,98,Rosedale-Moore Park (98),98,Rosedale-Moore Park (98),-79.36888078,43.68420906,-8835303.394,5416702.156
58751,GO-20247344,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,1,2024,January,2,2,Tuesday   ,1,D53,Convenience Stores,Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,39,Bedford Park-Nortown (39),39,Bedford Park-Nortown (39),-79.42938369,43.71764356,-8842038.547,5421850.342
58752,GO-20248529,1/2/2024 5:00:00 AM,1/1/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,8,2024,January,1,1,Monday    ,22,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,157,Bendale South (157),127,Bendale (127),-79.24755726,43.75039528,-8821797.721,5426896.179
58753,GO-2024106331,1/2/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,2,2,Tuesday   ,9,2023,December,31,365,Sunday    ,23,D23,"Apartment (Rooming House, Condo)",Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.60344129,43.71926695,-8861414.55,5422100.381
58754,GO-202413886,1/2/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,2,2,Tuesday   ,20,2024,January,2,2,Tuesday   ,18,D42,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,144,Morningside Heights (144),131,Rouge (131),-79.23522911,43.8303172,-8820425.357,5439220.818
58755,GO-202415856,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,6,2024,January,2,2,Tuesday   ,13,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.39641976,43.69737513,-8838369.018,5418729.102
58756,GO-202416006,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,6,2024,January,3,3,Wednesday ,3,D41,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,157,Bendale South (157),127,Bendale (127),-79.26407503,43.74582657,-8823636.471,5426192.144
58757,GO-202416793,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,10,2024,January,3,3,Wednesday ,2,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,129,Agincourt North (129),129,Agincourt North (129),-79.28560382,43.81263059,-8826033.044,5436491.972
58758,GO-202418427,1/3/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,3,3,Wednesday ,12,2023,December,31,365,Sunday    ,2,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,126,Dorset Park (126),126,Dorset Park (126),-79.27714102,43.75540266,-8825090.97,5427667.876
58759,GO-202420930,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,18,2024,January,3,3,Wednesday ,9,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.27001871,43.77358505,-8824298.118,5430470.543
58760,GO-202416366,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,8,2024,January,3,3,Wednesday ,4,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.27427478,43.70328741,-8824771.902,5419639.456
58761,GO-202416793,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,10,2024,January,3,3,Wednesday ,2,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,129,Agincourt North (129),129,Agincourt North (129),-79.28560382,43.81263059,-8826033.044,5436491.972
58762,GO-202415949,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,6,2024,January,2,2,Tuesday   ,23,D41,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.27589648,43.70557281,-8824952.428,5419991.377
58763,GO-202416220,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,7,2024,January,3,3,Wednesday ,5,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,92,Corso Italia-Davenport (92),92,Corso Italia-Davenport (92),-79.44863082,43.67677652,-8844181.127,5415558.096
58764,GO-202416745,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,9,2024,January,3,3,Wednesday ,0,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,10,Princess-Rosethorn (10),10,Princess-Rosethorn (10),-79.54333029,43.67621127,-8854723.023,5415471.095
58765,GO-202416448,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,8,2024,January,2,2,Tuesday   ,18,D23,"Apartment (Rooming House, Condo)",Apartment,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.62419129,43.73092183,-8863724.429,5423895.703
58766,GO-202418724,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,13,2024,January,2,2,Tuesday   ,22,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,11,Eringate-Centennial-West Deane (11),11,Eringate-Centennial-West Deane (11),-79.58407083,43.66152498,-8859258.24,5413210.935
58767,GO-202416173,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,7,2024,January,2,2,Tuesday   ,19,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,1,West Humber-Clairville (1),1,West Humber-Clairville (1),-79.62553219,43.73119653,-8863873.697,5423938.023
58768,GO-202416945,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,9,2024,January,2,2,Tuesday   ,15,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,55,Thorncliffe Park (55),55,Thorncliffe Park (55),-79.34134032,43.70795198,-8832237.604,5420357.753
58769,GO-202418427,1/3/2024 5:00:00 AM,12/31/2023 5:00:00 AM,2024,January,3,3,Wednesday ,12,2023,December,31,365,Sunday    ,2,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,126,Dorset Park (126),126,Dorset Park (126),-79.27714102,43.75540266,-8825090.97,5427667.876
58770,GO-202419654,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,15,2024,January,3,3,Wednesday ,15,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.2824204,43.73212936,-8825678.667,5424081.732
58771,GO-202420545,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,17,2024,January,3,3,Wednesday ,16,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.31150497,43.75636972,-8828916.348,5427816.92
58772,GO-202420930,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,18,2024,January,3,3,Wednesday ,9,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.27001871,43.77358505,-8824298.118,5430470.543
58773,GO-202417915,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,12,2024,January,2,2,Tuesday   ,20,D31,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,22,Humbermede (22),22,Humbermede (22),-79.56191158,43.74701898,-8856791.484,5426375.889
58774,GO-202420897,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,18,2024,January,3,3,Wednesday ,16,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,2,Mount Olive-Silverstone-Jamestown (2),2,Mount Olive-Silverstone-Jamestown (2),-79.58709009,43.75361738,-8859594.343,5427392.737
58775,GO-202421851,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,21,2024,January,3,3,Wednesday ,21,D22,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,160,Mimico-Queensway (160),17,Mimico (includes Humber Bay Shores) (17),-79.48883731,43.62418026,-8848656.894,5407466.222
58776,GO-202421719,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,21,2024,January,3,3,Wednesday ,21,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,159,Etobicoke City Centre (159),14,Islington-City Centre West (14),-79.55690959,43.61015061,-8856234.664,5405308.971
58777,GO-202416205,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,7,2024,January,2,2,Tuesday   ,19,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,142,Woburn North (142),137,Woburn (137),-79.23174477,43.77643121,-8820037.483,5430909.331
58778,GO-202417697,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,11,2024,January,2,2,Tuesday   ,22,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2135,210,Theft Of Motor Vehicle,Auto Theft,138,Eglinton East (138),138,Eglinton East (138),-79.23237068,43.74541408,-8820107.158,5426128.582
58779,GO-202417315,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,10,2024,January,3,3,Wednesday ,9,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.25424114,43.77663627,-8822541.767,5430940.946
58780,GO-20242347,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,18,2024,January,3,3,Wednesday ,18,D43,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,138,Eglinton East (138),138,Eglinton East (138),-79.24473616,43.74478478,-8821483.677,5426031.612
58781,GO-202419813,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,17,2024,January,3,3,Wednesday ,13,D43,"Dealership (Car, Motorcycle, Marine, Trailer, Etc.)",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,123,Cliffcrest (123),123,Cliffcrest (123),-79.22917035,43.72809569,-8819750.899,5423460.332
58782,GO-202421456,1/3/2024 5:00:00 AM,1/3/2024 5:00:00 AM,2024,January,3,3,Wednesday ,23,2024,January,3,3,Wednesday ,13,D43,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2135,210,Theft Of Motor Vehicle,Auto Theft,142,Woburn North (142),137,Woburn (137),-79.23174477,43.77643121,-8820037.483,5430909.331
58783,GO-202417117,1/3/2024 5:00:00 AM,1/2/2024 5:00:00 AM,2024,January,3,3,Wednesday ,10,2024,January,2,2,Tuesday   ,22,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2135,210,Theft Of Motor Vehicle,Auto Theft,150,Fenside-Parkwoods (150),45,Parkwoods-Donalda (45),-79.31873487,43.75993882,-8829721.176,5428367.009
